city,locality,property_type,area_sqft,bhk,bathrooms,floor_no,total_floors,age_years,furnishing,parking,gym,pool,security,schools_score,hospitals_score,price
Mumbai,Malad,Apartment,1097.5,2,1,0,20,1,Semi-Furnished,1,0,0,1,9.32,4.76,21826000
Mumbai,Malad,Apartment,1328.8,2,1,12,12,8,Unfurnished,2,1,1,1,4.31,8.09,23592000
Mumbai,Goregaon,Apartment,1533.4,2,1,11,12,3,Semi-Furnished,1,0,0,1,5.12,3.78,33366000
Mumbai,Andheri West,Apartment,1498.5,3,3,13,19,1,Unfurnished,1,0,0,1,6.06,5.32,55077000
Mumbai,Bandra West,Villa,1298.8,3,2,9,11,9,Semi-Furnished,1,1,1,1,5.99,5.27,81505000
Nagpur,Besa,Apartment,1129.2,2,1,5,8,0,Semi-Furnished,0,0,0,1,5.17,6.61,6205000
Nagpur,Kalmna,Apartment,1221.5,2,2,2,3,11,Furnished,0,0,1,1,5.55,2.73,3662000
Pune,Wakad,Villa,1643.1,3,3,6,7,8,Semi-Furnished,1,1,0,0,3.14,5.53,18905000
Pune,Baner,Villa,532.3,1,1,11,13,4,Unfurnished,1,0,0,1,8.64,4.91,7645000
Mumbai,Bandra West,Apartment,1612.3,3,2,7,10,16,Semi-Furnished,1,1,0,0,5.87,4.07,67595000
Nagpur,Wardha Road,Plot,800.0,0,0,0,0,0,Unfurnished,1,0,0,0,5.8,9.25,3557000
Pune,Kothrud,Apartment,2457.8,4,3,0,4,2,Furnished,0,0,0,1,2.78,5.66,26512000
Pune,Hinjewadi,Apartment,1399.0,2,1,3,8,6,Unfurnished,1,0,0,0,6.62,5.98,11769000
Pune,Hinjewadi,Villa,1374.5,2,2,9,9,6,Unfurnished,1,0,0,0,9.04,4.25,15544000
Pune,Kothrud,Apartment,2337.1,4,3,1,5,1,Semi-Furnished,1,1,0,0,5.53,5.48,26570000
Pune,Koregaon Park,Apartment,2005.1,3,2,3,13,4,Unfurnished,1,0,0,0,9.65,1.97,27996000
Nagpur,Manish Nagar,Apartment,1985.9,3,2,6,8,0,Unfurnished,0,1,0,0,8.54,7.98,11544000
Nagpur,Kalmna,Apartment,463.9,1,1,4,6,4,Semi-Furnished,1,0,0,1,7.33,7.41,1610000
Pune,Wakad,Apartment,955.3,2,1,4,5,8,Unfurnished,0,0,1,1,5.84,9.6,9777000
Mumbai,Malad,Apartment,940.6,1,1,2,3,1,Unfurnished,1,1,0,1,9.31,9.57,23507000
Nagpur,Besa,Apartment,1697.1,3,2,6,20,4,Unfurnished,0,0,0,1,3.25,5.76,5986000
Nagpur,Kalmna,Apartment,1083.5,2,2,1,1,16,Semi-Furnished,1,0,0,1,3.67,5.72,3155000
Mumbai,Panvel,Apartment,439.8,1,1,18,18,3,Unfurnished,0,1,0,0,4.98,6.65,3744000
Pune,Hinjewadi,Villa,1307.4,2,1,0,13,28,Semi-Furnished,1,1,0,1,5.29,4.74,12012000
Nagpur,Besa,Plot,1977.4,0,0,0,0,0,Unfurnished,0,0,0,0,7.57,7.61,6512000
Pune,Wagholi,Apartment,2017.0,3,2,0,10,22,Unfurnished,2,0,0,1,4.66,7.78,12109000
Pune,Wakad,Apartment,2464.4,4,3,0,1,2,Furnished,0,1,0,0,5.34,8.24,26127000
Pune,Hinjewadi,Apartment,1042.9,2,2,9,11,1,Semi-Furnished,1,0,0,1,5.62,4.16,8458000
Pune,Wakad,Apartment,1311.8,3,2,1,1,1,Semi-Furnished,0,0,0,0,7.77,6.71,14376000
Mumbai,Chembur,Villa,459.2,1,1,22,25,0,,1,0,0,0,7.46,9.94,13521000
Mumbai,Goregaon,Apartment,1076.0,2,1,0,15,8,Unfurnished,1,0,0,1,6.96,10.0,25647000
Nagpur,Manish Nagar,Villa,1724.8,4,4,0,8,31,Semi-Furnished,1,0,1,1,5.35,3.7,8823000
Pune,Hinjewadi,Apartment,1448.8,3,2,0,11,4,Furnished,1,0,1,0,7.1,4.37,14357000
Pune,Wakad,Apartment,1369.0,2,2,7,15,0,Semi-Furnished,2,1,0,0,4.42,5.23,13700000
Nagpur,Civil Lines,Apartment,1876.0,3,3,0,10,13,Semi-Furnished,2,1,1,1,4.8,4.75,19570000
Mumbai,Bandra West,Apartment,1432.0,2,1,3,5,10,Furnished,0,0,0,1,7.92,2.83,69047000
Mumbai,Malad,Apartment,2056.2,4,3,10,24,19,Unfurnished,1,0,0,1,4.94,8.26,30385000
Pune,Hinjewadi,Apartment,1940.2,3,2,4,7,7,Semi-Furnished,1,0,0,0,5.32,5.7,17920000
Mumbai,Bandra West,Apartment,1172.6,2,2,4,10,9,Semi-Furnished,1,1,0,1,3.89,6.64,51779000
Pune,Baner,Apartment,1905.3,3,3,3,6,4,Unfurnished,1,1,0,1,5.86,4.2,25057000
Pune,Wagholi,Apartment,1169.2,2,2,5,15,2,Unfurnished,0,1,0,0,5.38,6.53,6845000
Nagpur,Civil Lines,Apartment,1134.3,2,2,9,13,11,Furnished,1,1,1,1,6.73,8.0,12851000
Pune,Wagholi,Apartment,1018.4,2,2,2,6,2,Unfurnished,0,0,0,1,7.96,9.85,6701000
Nagpur,Kalmna,Apartment,342.9,1,1,1,1,10,Semi-Furnished,2,1,0,1,5.04,4.7,1120000
Pune,Baner,Apartment,555.6,1,1,5,16,2,Furnished,0,1,0,1,4.38,5.93,7108000
Mumbai,Mira Road,Plot,2372.9,0,0,0,0,0,Unfurnished,0,0,0,0,4.94,3.32,15629000
Nagpur,Kalmna,Apartment,1934.8,3,3,3,3,8,Unfurnished,0,0,0,0,5.92,5.7,5194000
Nagpur,Wardha Road,Apartment,992.4,2,2,2,6,3,Semi-Furnished,1,0,0,1,6.62,7.52,6671000
Nagpur,Manish Nagar,Apartment,828.5,2,2,11,15,3,Semi-Furnished,1,0,0,0,6.87,2.26,3695000
Mumbai,Chembur,Apartment,1206.9,2,2,2,19,15,Unfurnished,1,0,0,1,5.71,3.32,24054000
Pune,Wagholi,Apartment,890.4,2,1,5,8,8,Furnished,1,0,0,1,8.34,6.18,4804000
Mumbai,Mira Road,Apartment,1007.8,2,2,0,4,3,Unfurnished,1,0,0,0,3.36,6.83,10915000
Nagpur,Dharampeth,Apartment,872.7,2,1,13,13,20,Unfurnished,2,0,0,0,9.47,9.44,7325000
Mumbai,Chembur,Villa,950.6,2,1,7,15,19,Semi-Furnished,1,1,0,1,4.79,5.72,27955000
Pune,Baner,Apartment,2246.7,3,3,9,13,11,Unfurnished,2,0,0,0,6.17,4.8,25826000
Mumbai,Powai,Plot,2454.1,0,0,0,0,0,Unfurnished,1,0,0,0,5.78,1.0,45649000
Pune,Baner,Apartment,439.7,1,1,2,2,21,Furnished,1,1,0,1,6.63,5.07,5361000
Pune,Baner,Villa,1445.6,3,2,1,16,3,Semi-Furnished,1,1,1,1,4.64,3.74,21300000
Mumbai,Malad,Plot,1597.9,0,0,0,0,0,Unfurnished,0,0,0,0,5.1,4.69,17676000
Nagpur,Hingna,Apartment,1250.9,2,1,8,8,7,Semi-Furnished,2,1,0,1,4.1,6.51,6059000
Nagpur,Kalmna,Apartment,2298.5,4,3,7,13,0,Semi-Furnished,2,0,0,1,4.91,8.73,7318000
Pune,Koregaon Park,Villa,2673.2,4,3,0,1,4,Unfurnished,2,1,0,0,9.17,3.34,47690000
Pune,Wagholi,Apartment,2025.0,3,3,5,9,2,Semi-Furnished,0,0,0,1,6.18,2.94,11292000
Pune,Wakad,Apartment,1015.8,2,2,4,6,4,Furnished,2,1,1,0,6.35,7.49,10480000
Nagpur,Kalmna,Villa,1092.2,2,2,3,9,0,Unfurnished,2,1,0,1,4.18,5.61,4326000
Nagpur,Kalmna,Apartment,1412.8,2,1,4,8,0,Semi-Furnished,1,1,0,1,9.59,5.57,5530000
Nagpur,Wardha Road,Villa,933.8,2,1,0,3,16,Semi-Furnished,0,1,0,1,9.1,8.05,6858000
Pune,Koregaon Park,Apartment,1114.0,2,1,7,12,1,Furnished,1,0,1,1,8.63,6.96,24880000
Nagpur,Wardha Road,Apartment,1627.8,3,2,1,10,4,Unfurnished,1,0,1,1,4.13,5.82,10142000
Pune,Kothrud,Apartment,2135.0,4,3,11,14,32,Unfurnished,1,0,0,1,7.3,8.4,23186000
Mumbai,Mira Road,Apartment,1391.8,3,3,11,19,1,Furnished,1,0,0,0,9.25,3.44,20733000
Mumbai,Malad,Apartment,2250.1,5,4,14,19,6,Unfurnished,2,0,0,1,5.75,3.95,36664000
Nagpur,Kalmna,Plot,2120.5,0,0,0,0,0,Unfurnished,0,0,0,0,9.75,5.53,5172000
Mumbai,Goregaon,Apartment,1206.9,2,1,3,18,0,Unfurnished,1,0,1,1,8.71,5.86,27503000
Mumbai,Mira Road,Apartment,1725.6,3,2,0,9,0,Semi-Furnished,0,0,0,0,7.94,8.61,24521000
Mumbai,Chembur,Apartment,1352.9,2,2,18,19,24,Unfurnished,2,0,0,1,5.7,3.7,25595000
Mumbai,Chembur,Apartment,905.5,1,1,13,18,7,Unfurnished,0,1,0,1,6.06,7.07,26727000
Mumbai,Mira Road,Plot,2425.7,0,0,0,0,0,Unfurnished,1,0,0,0,5.51,8.42,18597000
Pune,Hinjewadi,Apartment,1532.8,3,3,0,1,1,Unfurnished,0,0,0,1,4.3,6.09,13168000
Nagpur,Hingna,Apartment,2118.3,4,4,2,5,0,Unfurnished,1,0,0,1,7.15,6.63,8686000
Mumbai,Powai,Apartment,2749.3,4,3,20,21,2,Semi-Furnished,2,1,0,1,6.81,7.14,73865000
Pune,Hinjewadi,Villa,1285.5,2,2,0,7,2,Semi-Furnished,2,0,0,1,5.81,4.49,12964000
Nagpur,Ramdaspeth,Apartment,814.5,2,2,1,1,4,Semi-Furnished,0,0,0,1,6.36,4.75,6350000
Mumbai,Malad,Apartment,1029.3,2,2,10,13,2,Furnished,1,1,0,1,7.27,2.9,19951000
Mumbai,Andheri West,Apartment,548.6,1,1,6,7,10,Unfurnished,1,1,0,0,8.26,6.71,16624000
Mumbai,Andheri West,Apartment,1317.4,2,2,9,9,8,Semi-Furnished,0,0,0,1,8.35,6.45,49686000
Mumbai,Mira Road,Apartment,1024.9,2,2,10,14,3,Semi-Furnished,0,0,0,0,4.7,3.06,11698000
Mumbai,Mira Road,Plot,2631.3,0,0,0,0,0,Unfurnished,0,0,0,0,5.81,2.53,19249000
Nagpur,Kalmna,Apartment,662.8,2,1,0,1,0,Furnished,2,0,1,1,6.73,4.46,2406000
Mumbai,Andheri West,Villa,3102.3,4,3,2,12,22,Unfurnished,1,0,0,0,5.7,8.17,126014000
Nagpur,Wardha Road,Apartment,1193.1,2,1,8,11,22,Semi-Furnished,1,0,0,0,5.24,6.06,6718000
Nagpur,Dharampeth,Apartment,948.7,2,2,3,4,3,Unfurnished,1,1,0,1,5.81,2.77,6498000
Mumbai,Andheri West,Apartment,1465.6,2,1,4,16,1,Semi-Furnished,2,1,0,1,9.85,8.31,44479000
Mumbai,Chembur,Apartment,641.0,1,1,12,15,1,Unfurnished,2,0,0,1,5.46,9.01,15656000
Nagpur,Manish Nagar,Apartment,2405.7,4,4,8,10,0,Semi-Furnished,1,1,0,1,8.08,4.88,13182000
Nagpur,Besa,Apartment,2137.2,4,3,10,11,2,Semi-Furnished,2,0,0,0,8.64,3.91,11278000
Nagpur,Manish Nagar,Plot,2600.7,0,0,0,0,0,Unfurnished,1,0,0,0,5.63,2.74,9900000
Pune,Koregaon Park,Apartment,1597.9,3,3,4,4,2,Unfurnished,1,1,0,1,9.1,8.16,29473000
Nagpur,Civil Lines,Apartment,1581.8,2,2,4,8,0,Unfurnished,1,1,0,1,3.25,10.0,15554000
Mumbai,Mira Road,Apartment,1142.6,2,2,1,4,3,Furnished,2,0,0,0,10.0,6.62,15313000
Nagpur,Ramdaspeth,Apartment,510.4,1,1,0,10,6,Unfurnished,1,0,0,0,4.62,4.25,3089000
Nagpur,Ramdaspeth,Apartment,1452.6,2,1,0,10,20,Semi-Furnished,2,1,0,0,5.82,6.96,9458000
Mumbai,Andheri West,Apartment,1230.5,2,1,8,17,3,Furnished,1,0,0,1,4.71,6.62,41542000
Pune,Kalyani Nagar,Plot,1470.6,0,0,0,0,0,Unfurnished,1,0,0,0,2.62,6.92,12230000
Mumbai,Malad,Apartment,1138.1,2,2,4,15,0,Unfurnished,2,1,0,1,6.06,4.85,22366000
Pune,Baner,Apartment,1181.1,2,2,5,5,13,Semi-Furnished,1,0,0,1,5.83,5.94,13592000
Nagpur,Besa,Plot,2629.1,0,0,0,0,0,Unfurnished,0,0,0,0,5.24,3.87,7512000
Pune,Kothrud,Apartment,1943.2,3,2,9,10,0,Furnished,0,0,0,1,5.16,4.6,25147000
Pune,Baner,Apartment,659.3,1,1,0,1,6,Semi-Furnished,1,0,0,0,6.91,2.63,6829000
Pune,Kothrud,Apartment,721.5,2,1,0,1,14,Furnished,1,0,0,1,6.12,4.03,7526000
Nagpur,Dharampeth,Apartment,1975.4,4,3,0,1,6,Semi-Furnished,0,0,0,0,7.12,5.24,12926000
Pune,Hadapsar,Apartment,864.6,2,2,2,10,9,Semi-Furnished,1,1,0,0,6.95,6.47,6527000
Nagpur,Civil Lines,Apartment,844.4,2,2,4,4,0,Unfurnished,1,0,0,0,9.4,8.58,9424000
Pune,Hinjewadi,Apartment,1098.8,2,2,2,8,1,Unfurnished,1,1,0,1,3.09,5.84,11753000
Pune,Wakad,Apartment,1142.7,2,1,1,1,2,Semi-Furnished,1,0,0,1,6.92,6.84,12506000
Nagpur,Wardha Road,Villa,2073.8,3,2,5,10,3,Unfurnished,0,0,1,1,4.48,10.0,17080000
Pune,Hinjewadi,Apartment,903.7,2,2,0,10,3,Furnished,1,0,0,1,8.11,6.21,8076000
Pune,Kalyani Nagar,Plot,3786.3,0,0,0,0,0,Unfurnished,0,0,0,0,6.23,4.67,38171000
Pune,Wagholi,Apartment,842.3,2,2,1,6,0,Furnished,2,1,0,1,7.46,2.92,6428000
Pune,Kalyani Nagar,Apartment,530.7,1,1,1,4,14,Unfurnished,1,0,0,1,7.25,7.72,7306000
Pune,Wakad,Villa,1236.9,2,1,0,4,2,Semi-Furnished,0,1,0,0,4.56,5.67,15560000
Nagpur,Manish Nagar,Plot,3113.0,0,0,0,0,0,Unfurnished,0,0,0,0,4.64,5.01,10554000
Pune,Kothrud,Apartment,2962.2,4,4,0,11,0,Semi-Furnished,1,1,1,1,7.3,6.0,39042000
Pune,Hinjewadi,Apartment,1423.8,3,3,0,6,5,Unfurnished,1,0,0,0,9.79,5.51,11787000
Pune,Wagholi,Apartment,2459.3,4,4,6,7,6,Unfurnished,1,0,0,1,3.95,5.58,15040000
Mumbai,Andheri West,Plot,3155.3,0,0,0,0,0,Unfurnished,1,0,0,0,5.68,8.1,65895000
Pune,Kothrud,Apartment,856.2,2,2,1,1,1,Unfurnished,2,0,0,1,7.2,8.78,9939000
Pune,Koregaon Park,Plot,1720.0,0,0,0,0,0,Unfurnished,0,0,0,0,4.63,7.33,16435000
Nagpur,Ramdaspeth,Apartment,1423.4,2,1,0,9,9,Unfurnished,1,0,0,0,2.08,5.18,8884000
Pune,Wagholi,Apartment,1447.0,3,2,9,12,12,Semi-Furnished,1,0,0,1,7.76,6.35,10179000
Pune,Wagholi,Apartment,1190.4,2,2,0,1,0,Semi-Furnished,1,0,0,1,5.54,5.66,6085000
Nagpur,Besa,Apartment,750.6,2,1,7,7,1,Semi-Furnished,0,0,0,1,4.47,3.84,3508000
Nagpur,Manish Nagar,Apartment,1094.8,2,1,0,3,3,Unfurnished,2,0,0,1,5.8,4.88,6804000
Pune,Kothrud,Villa,730.8,2,1,0,9,1,Unfurnished,1,0,0,1,4.68,8.82,10921000
Nagpur,Hingna,Apartment,1034.9,2,1,0,13,6,Unfurnished,0,0,0,1,4.13,6.8,3206000
Mumbai,Panvel,Apartment,1574.3,3,2,7,12,4,Semi-Furnished,0,0,0,0,7.17,7.21,15420000
Pune,Hadapsar,Apartment,2523.0,4,4,1,3,3,Unfurnished,1,1,0,0,6.96,8.02,20102000
Pune,Wagholi,Apartment,2234.0,3,2,5,7,19,Unfurnished,1,0,0,1,6.25,6.11,11309000
Pune,Hadapsar,Apartment,1130.5,2,2,3,8,15,Semi-Furnished,1,1,1,1,4.58,4.75,8498000
Mumbai,Powai,Plot,898.4,0,0,0,0,0,Unfurnished,0,0,0,0,4.01,5.32,19356000
Nagpur,Ramdaspeth,Apartment,2870.4,4,4,3,4,5,Unfurnished,1,0,0,1,6.55,6.43,25855000
Nagpur,Besa,Apartment,1452.5,3,3,5,5,4,Furnished,2,0,1,1,10.0,7.07,9185000
Nagpur,Manish Nagar,Villa,1159.0,2,2,6,17,5,Unfurnished,1,0,0,0,4.46,8.44,7701000
Mumbai,Andheri West,Apartment,960.8,2,2,5,16,18,Unfurnished,1,1,0,1,8.58,6.11,28442000
Nagpur,Civil Lines,Villa,951.7,2,1,11,13,0,Semi-Furnished,2,1,0,1,9.48,6.39,12559000
Nagpur,Kalmna,Plot,3423.0,0,0,0,0,0,Unfurnished,1,0,0,0,5.81,3.76,7020000
Mumbai,Chembur,Villa,2995.9,5,4,13,13,4,Semi-Furnished,1,1,0,1,5.89,9.43,96787000
Nagpur,Hingna,Apartment,974.9,2,1,5,8,2,Unfurnished,1,0,0,1,6.18,7.82,3376000
Pune,Koregaon Park,Plot,3261.3,0,0,0,0,0,Unfurnished,1,0,0,0,8.11,4.74,32983000
Pune,Koregaon Park,Apartment,2248.0,3,2,2,3,0,Furnished,2,0,0,0,7.78,3.57,39250000
Mumbai,Bandra West,Villa,2098.1,4,4,3,6,2,Semi-Furnished,0,1,0,1,6.09,6.19,121107000
Nagpur,Ramdaspeth,Villa,1142.2,3,2,3,4,5,Furnished,1,1,0,0,8.67,5.84,14047000
Nagpur,Ramdaspeth,Apartment,867.9,2,2,7,13,14,Furnished,2,0,0,1,7.87,6.15,6986000
Pune,Hadapsar,Apartment,1081.3,2,2,1,8,2,Semi-Furnished,0,0,0,0,4.55,7.68,8562000
Pune,Kothrud,Apartment,1372.1,3,2,3,4,16,Unfurnished,1,0,1,1,6.58,8.07,15620000
Mumbai,Andheri West,Apartment,473.3,1,1,12,15,20,Unfurnished,2,0,1,1,5.39,7.92,13734000
Pune,Wagholi,Apartment,2896.0,4,4,0,10,6,Furnished,1,1,0,0,2.9,7.06,14982000
Nagpur,Manish Nagar,Apartment,2737.9,4,3,3,3,2,Semi-Furnished,1,1,1,0,6.04,7.85,17809000
Mumbai,Andheri West,Apartment,1782.3,3,3,5,12,7,Semi-Furnished,1,0,0,1,7.6,7.35,51518000
Pune,Wakad,Apartment,766.7,1,1,2,4,8,Furnished,1,0,0,1,5.11,5.24,7481000
Mumbai,Panvel,Plot,2584.1,0,0,0,0,0,Unfurnished,0,0,0,0,6.9,9.24,19258000
Nagpur,Civil Lines,Apartment,1019.4,2,2,1,3,0,Unfurnished,1,0,0,1,4.82,6.8,11144000
Mumbai,Mira Road,Apartment,937.7,2,2,1,12,5,Semi-Furnished,1,1,0,1,8.28,4.63,12126000
Mumbai,Bandra West,Apartment,1492.5,3,2,12,15,0,Unfurnished,0,1,0,0,4.65,5.17,64345000
Pune,Kalyani Nagar,Apartment,1878.2,3,3,0,12,12,Unfurnished,1,1,0,1,4.37,9.25,22048000
Nagpur,Wardha Road,Apartment,1182.1,2,1,0,9,11,Furnished,0,1,1,1,6.71,5.0,8196000
Pune,Hadapsar,Apartment,1354.0,2,1,9,13,8,Semi-Furnished,0,0,0,1,9.15,3.94,12382000
Pune,Kalyani Nagar,Plot,2825.6,0,0,0,0,0,Unfurnished,0,0,0,0,8.77,6.69,27562000
Mumbai,Mira Road,Plot,1664.4,0,0,0,0,0,Unfurnished,0,0,0,0,2.05,7.86,14847000
Mumbai,Bandra West,Apartment,1358.6,2,1,11,13,8,Furnished,1,0,0,0,6.05,5.73,78099000
Mumbai,Mira Road,Apartment,1146.2,3,3,0,20,9,Unfurnished,1,1,0,1,4.25,6.41,13544000
Nagpur,Besa,Apartment,615.7,1,1,11,14,5,Semi-Furnished,2,0,0,1,7.63,6.01,2914000
Mumbai,Malad,Apartment,1494.4,3,3,17,21,45,Semi-Furnished,1,0,1,1,7.25,5.69,18228000
Pune,Koregaon Park,Apartment,973.7,2,1,2,6,1,Semi-Furnished,1,1,0,0,5.45,9.99,18222000
Pune,Wakad,Apartment,1225.0,2,1,4,13,3,Unfurnished,1,0,0,0,7.87,8.53,11264000
Nagpur,Civil Lines,Apartment,1262.5,2,1,6,6,0,Unfurnished,0,1,0,1,5.86,8.08,12575000
Mumbai,Chembur,Apartment,1202.7,2,1,2,14,3,Unfurnished,1,0,0,1,3.9,10.0,23316000
Pune,Wagholi,Plot,4180.1,0,0,0,0,0,Unfurnished,0,0,0,0,5.77,7.72,17912000
Pune,Hinjewadi,Apartment,1399.0,2,1,3,8,6,Unfurnished,1,0,0,0,6.62,5.98,11769000
Nagpur,Dharampeth,Apartment,1175.7,2,2,6,14,5,Unfurnished,2,1,0,1,8.07,5.12,8843000
Pune,Hadapsar,Apartment,816.6,2,2,1,8,12,Semi-Furnished,1,0,0,1,2.86,6.96,5528000
Mumbai,Goregaon,Apartment,916.3,2,1,0,18,2,Unfurnished,2,1,0,1,9.21,8.34,19932000
Mumbai,Powai,Apartment,1063.8,2,2,0,3,0,Semi-Furnished,0,1,0,0,5.74,4.64,30173000
Nagpur,Besa,Apartment,2466.6,4,4,6,6,0,Unfurnished,0,0,0,0,7.67,8.71,13400000
Pune,Hinjewadi,Villa,3021.2,5,5,5,12,3,Unfurnished,1,0,0,1,5.62,3.53,35446000
Nagpur,Wardha Road,Apartment,1117.8,2,2,0,1,3,Unfurnished,0,0,0,1,5.01,4.78,5638000
Nagpur,Wardha Road,Villa,1894.8,4,4,0,8,0,Furnished,1,0,1,0,8.05,5.9,17076000
Nagpur,Hingna,Apartment,377.3,1,1,0,5,2,Semi-Furnished,0,0,0,1,5.82,4.23,1281000
Pune,Koregaon Park,Apartment,910.5,2,1,13,14,8,Semi-Furnished,2,1,1,1,10.0,5.83,16418000
Nagpur,Besa,Apartment,1487.0,4,4,2,3,4,Unfurnished,1,1,0,0,9.93,2.34,6627000
Mumbai,Malad,Plot,3309.0,0,0,0,0,0,Unfurnished,1,0,0,0,7.53,6.92,41698000
Nagpur,Ramdaspeth,Apartment,1192.3,2,2,5,11,8,Unfurnished,1,0,0,1,9.82,2.54,9447000
Mumbai,Goregaon,Apartment,1307.5,2,1,10,20,7,Semi-Furnished,2,1,0,0,3.77,7.27,29700000
Mumbai,Bandra West,Apartment,1020.6,2,2,7,11,0,Unfurnished,2,1,0,1,6.58,8.64,45062000
Nagpur,Besa,Apartment,507.3,1,1,6,8,16,Semi-Furnished,1,0,1,0,7.26,4.28,2452000
Pune,Baner,Apartment,1214.1,2,1,3,12,0,Furnished,1,0,0,1,7.19,8.19,14545000
Pune,Koregaon Park,Plot,2244.8,0,0,0,0,0,Unfurnished,0,0,0,0,7.15,6.4,21227000
Mumbai,Chembur,Apartment,1176.4,2,1,12,16,10,Unfurnished,2,0,0,0,2.76,10.0,28453000
Nagpur,Wardha Road,Apartment,1082.7,2,2,2,4,1,Unfurnished,1,0,1,1,4.36,7.18,6866000
Nagpur,Kalmna,Apartment,1378.8,3,2,6,8,1,Unfurnished,1,0,0,1,4.85,3.5,4030000
Mumbai,Chembur,Plot,3738.6,0,0,0,0,0,Unfurnished,1,0,0,0,2.21,8.24,53054000
Mumbai,Chembur,Apartment,1378.0,2,1,3,14,5,Unfurnished,1,1,0,1,8.15,5.25,34344000
Mumbai,Powai,Apartment,1232.8,2,1,8,11,13,Furnished,2,1,0,0,7.94,8.6,40008000
Pune,Wakad,Plot,924.4,0,0,0,0,0,Unfurnished,0,0,0,0,3.43,7.75,5582000
Pune,Hadapsar,Apartment,1147.3,2,1,0,1,3,Semi-Furnished,2,0,0,1,6.56,7.52,10130000
