location,area_type,availability_status,total_sqft,bhk,bath,balcony,price,sqft_per_bhk,bath_per_bhk
Hennur Road,Built-up Area,Ready To Move,5000.0,8.0,8.0,0.0,25000000.0,625.0,1.0
Kasavanhalli,Super built-up Area,Ready To Move,1563.05,3.0,3.0,1.0,10500000.0,521.0166666666667,1.0
other,Super built-up Area,Ready To Move,1000.0,2.0,2.0,1.0,6000000.0,500.0,1.0
Anandapura,Super built-up Area,Under Construction,1167.0,2.0,2.0,1.0,4376000.0,583.5,1.0
other,Super built-up Area,Ready To Move,4000.0,7.0,7.0,2.0,22500000.0,571.4285714285714,1.0
Kothanur,Super built-up Area,Ready To Move,1828.0,3.0,3.0,0.0,11000000.0,609.3333333333334,1.0
Kengeri Satellite Town,Super built-up Area,Ready To Move,890.0,2.0,2.0,1.0,3500000.0,445.0,1.0
other,Super built-up Area,Ready To Move,1612.0,3.0,3.0,3.0,4674000.0,537.3333333333334,1.0
Mysore Road,Super built-up Area,Under Construction,1710.0,3.0,4.0,2.0,9131000.0,570.0,1.3333333333333333
Kannamangala,Super built-up Area,Ready To Move,957.0,2.0,2.0,1.0,5800000.0,478.5,1.0
Devarachikkanahalli,Super built-up Area,Under Construction,1250.0,3.0,2.0,3.0,4400000.0,416.6666666666667,0.6666666666666666
other,Super built-up Area,Ready To Move,2795.0,3.0,4.0,0.0,23500000.0,931.6666666666666,1.3333333333333333
Hulimavu,Super built-up Area,Ready To Move,1125.0,2.0,2.0,2.0,5000000.0,562.5,1.0
Electronic City Phase II,Super built-up Area,Under Construction,1020.0,2.0,2.0,1.0,3060000.0,510.0,1.0
Kalena Agrahara,Super built-up Area,Ready To Move,1200.0,2.0,2.0,2.0,5000000.0,600.0,1.0
other,Built-up Area,Ready To Move,1350.0,3.0,2.0,3.0,4800000.0,450.0,0.6666666666666666
other,Super built-up Area,Ready To Move,1904.0,3.0,3.0,1.0,15000000.0,634.6666666666666,1.0
other,Super built-up Area,Ready To Move,2000.0,3.0,3.0,1.0,17500000.0,666.6666666666666,1.0
Sarjapur,Super built-up Area,Under Construction,1242.5,2.0,2.0,0.0,4349000.0,621.25,1.0
other,Super built-up Area,Ready To Move,1425.0,3.0,2.0,2.0,7500000.0,475.0,0.6666666666666666
Electronic City,Super built-up Area,Ready To Move,1500.0,3.0,2.0,1.0,6450000.0,500.0,0.6666666666666666
Electronic City,Built-up Area,Ready To Move,1060.0,2.0,2.0,1.0,6000000.0,530.0,1.0
other,Built-up Area,Ready To Move,1470.0,3.0,2.0,2.0,7000000.0,490.0,0.6666666666666666
Electronic City,Super built-up Area,Under Construction,1152.0,2.0,2.0,1.0,6450000.0,576.0,1.0
Electronic City,Super built-up Area,Ready To Move,1350.0,3.0,2.0,1.0,5600000.0,450.0,0.6666666666666666
CV Raman Nagar,Super built-up Area,Ready To Move,1550.0,3.0,3.0,3.0,6500000.0,516.6666666666666,1.0
other,Plot Area,Ready To Move,1500.0,3.0,3.0,2.0,10000000.0,500.0,1.0
Nagavara,Plot Area,Ready To Move,400.0,1.0,1.0,0.0,1400000.0,400.0,1.0
Malleshwaram,Super built-up Area,Ready To Move,705.0,1.0,1.0,2.0,6700000.0,705.0,1.0
Electronic City,Built-up Area,Ready To Move,770.0,2.0,1.0,1.0,3600000.0,385.0,0.5
Hulimavu,Super built-up Area,Ready To Move,1242.0,2.0,2.0,3.0,5100000.0,621.0,1.0
Hebbal Kempapura,Super built-up Area,Ready To Move,1700.0,3.0,3.0,2.0,15500000.0,566.6666666666666,1.0
Thanisandra,Super built-up Area,Ready To Move,2144.0,3.0,3.0,2.0,14500000.0,714.6666666666666,1.0
Vijayanagar,Super built-up Area,Under Construction,1704.0,3.0,3.0,2.0,11000000.0,568.0,1.0
Electronic City,Super built-up Area,Ready To Move,1070.0,2.0,2.0,1.0,5200000.0,535.0,1.0
other,Super built-up Area,Ready To Move,1340.0,2.0,2.0,2.0,5570000.0,670.0,1.0
Electronic City,Built-up Area,Ready To Move,1025.0,2.0,2.0,1.0,4600000.0,512.5,1.0
KR Puram,Super built-up Area,Ready To Move,1277.5,2.0,2.0,0.0,5680000.0,638.75,1.0
Marathahalli,Super built-up Area,Ready To Move,1200.0,2.0,2.0,2.0,5200000.0,600.0,1.0
Kanakpura Road,Built-up Area,Under Construction,2250.0,4.0,4.0,1.0,11000000.0,562.5,1.0
Pattandur Agrahara,Super built-up Area,Ready To Move,1550.0,3.0,2.0,3.0,8000000.0,516.6666666666666,0.6666666666666666
Marathahalli,Super built-up Area,Ready To Move,1200.0,2.0,2.0,2.0,6000000.0,600.0,1.0
Kothanur,Super built-up Area,Ready To Move,1186.0,2.0,2.0,2.0,5800000.0,593.0,1.0
other,Built-up Area,Ready To Move,1783.0,3.0,3.0,1.0,11500000.0,594.3333333333334,1.0
HSR Layout,Super built-up Area,Ready To Move,1400.0,3.0,3.0,2.0,5600000.0,466.6666666666667,1.0
other,Super built-up Area,Ready To Move,980.0,2.0,2.0,1.0,4800000.0,490.0,1.0
EPIP Zone,Super built-up Area,Ready To Move,1285.0,2.0,2.0,2.0,8200000.0,642.5,1.0
other,Super built-up Area,Ready To Move,912.0,3.0,2.0,1.0,7000000.0,304.0,0.6666666666666666
Whitefield,Built-up Area,Ready To Move,1225.0,2.0,2.0,2.0,4760000.0,612.5,1.0
Whitefield,Super built-up Area,Ready To Move,1075.0,2.0,2.0,1.0,5300000.0,537.5,1.0
Kadugodi,Built-up Area,Ready To Move,1260.0,3.0,2.0,2.0,5400000.0,420.0,0.6666666666666666
Yelahanka,Super built-up Area,Ready To Move,1282.0,3.0,2.0,2.0,4870000.0,427.3333333333333,0.6666666666666666
Kogilu,Super built-up Area,Ready To Move,1909.0,3.0,3.0,2.0,8800000.0,636.3333333333334,1.0
Panathur,Super built-up Area,Ready To Move,1359.0,2.0,2.0,1.0,8700000.0,679.5,1.0
other,Built-up Area,Ready To Move,1207.0,2.0,2.0,2.0,4350000.0,603.5,1.0
Kammasandra,Super built-up Area,Ready To Move,1595.0,3.0,3.0,2.0,6500000.0,531.6666666666666,1.0
other,Built-up Area,Under Construction,1798.0,3.0,3.0,2.0,8900000.0,599.3333333333334,1.0
Electronics City Phase 1,Super built-up Area,Ready To Move,1475.0,3.0,3.0,2.0,7829000.000000001,491.6666666666667,1.0
other,Super built-up Area,Ready To Move,1580.0,3.0,3.0,3.0,10000000.0,526.6666666666666,1.0
Dasarahalli,Super built-up Area,Ready To Move,1295.0,2.0,2.0,1.0,6500000.0,647.5,1.0
Magadi Road,Built-up Area,Ready To Move,3600.0,6.0,6.0,0.0,14100000.0,600.0,1.0
Electronic City,Super built-up Area,Ready To Move,589.0,1.0,1.0,1.0,2700000.0,589.0,1.0
other,Super built-up Area,Ready To Move,1415.0,3.0,3.0,3.0,7800000.0,471.6666666666667,1.0
Sarjapur  Road,Super built-up Area,Under Construction,1787.0,3.0,3.0,2.0,9829000.0,595.6666666666666,1.0
Sarjapur  Road,Super built-up Area,Ready To Move,1787.0,3.0,3.0,2.0,12500000.0,595.6666666666666,1.0
other,Built-up Area,Ready To Move,2000.0,4.0,4.0,1.0,7550000.0,500.0,1.0
Sarjapur  Road,Super built-up Area,Under Construction,984.0,2.0,2.0,1.0,4428000.0,492.0,1.0
other,Super built-up Area,Ready To Move,2405.0,3.0,4.0,2.0,26000000.0,801.6666666666666,1.3333333333333333
7th Phase JP Nagar,Built-up Area,Ready To Move,1080.0,2.0,2.0,2.0,7200000.0,540.0,1.0
other,Plot Area,Ready To Move,1500.0,2.0,2.0,1.0,11500000.0,750.0,1.0
Hebbal,Super built-up Area,Ready To Move,1900.0,3.0,3.0,2.0,11900000.0,633.3333333333334,1.0
Dommasandra,Super built-up Area,Under Construction,805.0,2.0,2.0,1.0,2214000.0,402.5,1.0
Budigere,Super built-up Area,Ready To Move,1153.0,2.0,2.0,2.0,5640000.0,576.5,1.0
other,Super built-up Area,Ready To Move,1148.0,2.0,2.0,2.0,6000000.0,574.0,1.0
other,Super built-up Area,Ready To Move,1110.0,2.0,2.0,2.0,5500000.0,555.0,1.0
Electronic City,Built-up Area,Ready To Move,1100.0,2.0,2.0,2.0,4200000.0,550.0,1.0
other,Super built-up Area,Ready To Move,1500.0,3.0,2.0,1.0,6500000.0,500.0,0.6666666666666666
other,Super built-up Area,Under Construction,1080.0,2.0,2.0,2.0,3900000.0,540.0,1.0
Vijayanagar,Super built-up Area,Under Construction,1933.0,3.0,3.0,1.0,12900000.0,644.3333333333334,1.0
Ramamurthy Nagar,Built-up Area,Ready To Move,3500.0,5.0,5.0,2.0,15000000.0,700.0,1.0
other,Built-up Area,Ready To Move,1060.0,2.0,2.0,2.0,6000000.0,530.0,1.0
Chandapura,Super built-up Area,Under Construction,645.0,1.0,1.0,1.0,1645000.0,645.0,1.0
other,Plot Area,Ready To Move,2600.0,8.0,8.0,2.0,18000000.0,325.0,1.0
Chandapura,Super built-up Area,Under Construction,645.0,1.0,1.0,1.0,1645000.0,645.0,1.0
other,Super built-up Area,Ready To Move,1644.0,3.0,3.0,3.0,8400000.0,548.0,1.0
other,Super built-up Area,Ready To Move,1285.0,2.0,2.0,3.0,7250000.0,642.5,1.0
Electronic City,Super built-up Area,Ready To Move,910.0,2.0,2.0,1.0,4000000.0,455.0,1.0
Kothanur,Super built-up Area,Ready To Move,1577.0,3.0,3.0,1.0,7000000.0,525.6666666666666,1.0
other,Plot Area,Under Construction,4050.0,3.0,3.0,2.0,28000000.0,1350.0,1.0
OMBR Layout,Super built-up Area,Ready To Move,2420.0,3.0,3.0,2.0,18500000.0,806.6666666666666,1.0
Chandapura,Super built-up Area,Ready To Move,800.0,2.0,1.0,1.0,2000000.0,400.0,0.5
other,Built-up Area,Ready To Move,1060.0,2.0,2.0,2.0,5500000.0,530.0,1.0
7th Phase JP Nagar,Super built-up Area,Ready To Move,1270.0,2.0,2.0,2.0,9300000.0,635.0,1.0
other,Super built-up Area,Under Construction,900.0,2.0,2.0,2.0,2250000.0,450.0,1.0
other,Built-up Area,Ready To Move,1280.0,2.0,2.0,1.0,6900000.0,640.0,1.0
Electronic City,Super built-up Area,Under Construction,1108.0,2.0,2.0,1.0,6300000.0,554.0,1.0
other,Super built-up Area,Ready To Move,3045.0,3.0,3.0,2.0,17000000.0,1015.0,1.0
Vijayanagar,Super built-up Area,Ready To Move,1500.0,3.0,3.0,2.0,7550000.0,500.0,1.0
Raja Rajeshwari Nagar,Super built-up Area,Ready To Move,1295.0,2.0,2.0,2.0,4390000.0,647.5,1.0
Budigere,Super built-up Area,Ready To Move,1162.0,2.0,2.0,1.0,5990000.0,581.0,1.0
Sarjapur  Road,Super built-up Area,Ready To Move,1035.0,2.0,2.0,2.0,4920000.0,517.5,1.0
Attibele,Built-up Area,Ready To Move,1600.0,4.0,4.0,0.0,5280000.0,400.0,1.0
other,Super built-up Area,Ready To Move,1464.0,3.0,3.0,2.0,4600000.0,488.0,1.0
other,Super built-up Area,Ready To Move,700.0,2.0,1.0,1.0,2600000.0,350.0,0.5
Kalena Agrahara,Super built-up Area,Ready To Move,1804.0,3.0,3.0,2.0,12000000.0,601.3333333333334,1.0
Sarjapur,Super built-up Area,Ready To Move,913.0,2.0,2.0,1.0,3200000.0,456.5,1.0
Talaghattapura,Super built-up Area,Under Construction,1868.0,3.0,3.0,2.0,13100000.0,622.6666666666666,1.0
Kengeri Satellite Town,Built-up Area,Ready To Move,883.0,2.0,2.0,1.0,4500000.0,441.5,1.0
other,Plot Area,Ready To Move,900.0,2.0,2.0,1.0,11000000.0,450.0,1.0
Kogilu,Super built-up Area,Ready To Move,1664.0,3.0,2.0,3.0,7395000.0,554.6666666666666,0.6666666666666666
Hegde Nagar,Super built-up Area,Ready To Move,2026.0,3.0,3.0,2.0,13200000.0,675.3333333333334,1.0
Balagere,Super built-up Area,Ready To Move,1210.0,2.0,2.0,1.0,8090000.000000001,605.0,1.0
other,Plot Area,Ready To Move,4111.0,4.0,4.0,2.0,25000000.0,1027.75,1.0
Kadugodi,Super built-up Area,Ready To Move,1762.0,3.0,3.0,3.0,9145000.0,587.3333333333334,1.0
Jigani,Super built-up Area,Ready To Move,1252.0,3.0,3.0,3.0,5500000.0,417.3333333333333,1.0
Gollarapalya Hosahalli,Built-up Area,Ready To Move,861.0,2.0,2.0,1.0,3450000.0,430.5,1.0
7th Phase JP Nagar,Built-up Area,Ready To Move,1420.0,3.0,2.0,1.0,10000000.0,473.3333333333333,0.6666666666666666
Electronics City Phase 1,Built-up Area,Ready To Move,1490.0,3.0,3.0,1.0,7880000.0,496.6666666666667,1.0
Bisuvanahalli,Super built-up Area,Ready To Move,1075.0,3.0,2.0,1.0,4600000.0,358.3333333333333,0.6666666666666666
Old Madras Road,Super built-up Area,Under Construction,1425.0,3.0,2.0,2.0,9400000.0,475.0,0.6666666666666666
Kaggadasapura,Super built-up Area,Ready To Move,1280.0,3.0,2.0,2.0,5600000.0,426.6666666666667,0.6666666666666666
other,Super built-up Area,Ready To Move,1084.0,2.0,2.0,2.0,5000000.0,542.0,1.0
Chandapura,Super built-up Area,Under Construction,1015.0,2.0,2.0,2.0,2588000.0,507.5,1.0
Kanakpura Road,Super built-up Area,Under Construction,1017.0,2.0,2.0,1.0,5125000.0,508.5,1.0
Haralur Road,Super built-up Area,Ready To Move,1027.0,2.0,2.0,2.0,4400000.0,513.5,1.0
Electronic City Phase II,Super built-up Area,Ready To Move,1069.0,2.0,2.0,2.0,4500000.0,534.5,1.0
Hebbal,Super built-up Area,Ready To Move,1349.0,2.0,2.0,1.0,9820000.0,674.5,1.0
9th Phase JP Nagar,Super built-up Area,Ready To Move,1005.0,2.0,2.0,1.0,5000000.0,502.5,1.0
Jakkur,Super built-up Area,Ready To Move,1417.0,2.0,2.0,3.0,7500000.0,708.5,1.0
TC Palaya,Plot Area,Under Construction,1475.0,3.0,3.0,1.0,9800000.0,491.6666666666667,1.0
other,Carpet Area,Ready To Move,950.0,2.0,2.0,2.0,4700000.0,475.0,1.0
other,Super built-up Area,Ready To Move,2000.0,4.0,4.0,0.0,12000000.0,500.0,1.0
Sarjapur  Road,Super built-up Area,Ready To Move,1863.0,4.0,3.0,2.0,10400000.0,465.75,0.75
Kalena Agrahara,Super built-up Area,Ready To Move,1425.0,3.0,2.0,1.0,7000000.0,475.0,0.6666666666666666
Vijayanagar,Super built-up Area,Ready To Move,1450.0,3.0,3.0,0.0,10000000.0,483.3333333333333,1.0
Kothanur,Super built-up Area,Ready To Move,1847.0,3.0,3.0,2.0,10500000.0,615.6666666666666,1.0
AECS Layout,Super built-up Area,Ready To Move,1100.0,2.0,2.0,3.0,4500000.0,550.0,1.0
Kanakpura Road,Super built-up Area,Under Construction,525.0,1.0,1.0,1.0,2600000.0,525.0,1.0
Mallasandra,Super built-up Area,Ready To Move,1665.0,3.0,3.0,2.0,9500000.0,555.0,1.0
Begur,Super built-up Area,Ready To Move,1664.0,4.0,4.0,3.0,6500000.0,416.0,1.0
JP Nagar,Super built-up Area,Ready To Move,1850.0,3.0,3.0,3.0,15000000.0,616.6666666666666,1.0
Panathur,Super built-up Area,Ready To Move,1438.0,2.0,2.0,3.0,10000000.0,719.0,1.0
other,Super built-up Area,Ready To Move,1560.0,3.0,3.0,3.0,11500000.0,520.0,1.0
Yelahanka,Super built-up Area,Under Construction,1350.0,2.0,2.0,1.0,5555000.0,675.0,1.0
Kanakpura Road,Super built-up Area,Ready To Move,1550.0,3.0,3.0,3.0,6700000.0,516.6666666666666,1.0
Malleshpalya,Super built-up Area,Under Construction,1140.0,2.0,2.0,2.0,4650000.0,570.0,1.0
other,Super built-up Area,Under Construction,850.0,2.0,2.0,2.0,2700000.0,425.0,1.0
Whitefield,Super built-up Area,Ready To Move,1280.0,2.0,2.0,2.0,7500000.0,640.0,1.0
Munnekollal,Built-up Area,Ready To Move,1170.0,2.0,2.0,2.0,5200000.0,585.0,1.0
other,Super built-up Area,Ready To Move,1113.0,2.0,2.0,1.0,5100000.0,556.5,1.0
Hennur Road,Super built-up Area,Ready To Move,1385.0,2.0,2.0,1.0,8309000.0,692.5,1.0
Electronic City,Super built-up Area,Under Construction,1128.0,2.0,2.0,1.0,6500000.0,564.0,1.0
Rajaji Nagar,Super built-up Area,Ready To Move,2390.0,3.0,3.0,2.0,41500000.0,796.6666666666666,1.0
