city,locality,property_type,area_sqft,bhk,bathrooms,floor_no,total_floors,age_years,furnishing,parking,gym,pool,security,schools_score,hospitals_score,price,floor_ratio,bath_per_bhk,area_per_bhk,rooms_total,amenities_count,is_ground_floor,age_bucket
Pune,Koregaon Park,Villa,2673.2,4,3,0,1,4,Unfurnished,2,1,0,0,9.17,3.34,47690000,0.0,0.75,668.3,7,2,1,Recent
Pune,Wagholi,Apartment,2025.0,3,3,5,9,2,Semi-Furnished,0,0,0,1,6.18,2.94,11292000,0.5555555555555556,1.0,675.0,6,1,0,New
Pune,Wakad,Apartment,1015.8,2,2,4,6,4,Furnished,2,1,1,0,6.35,7.49,10480000,0.6666666666666666,1.0,507.9,4,3,0,Recent
Nagpur,Kalmna,Villa,1092.2,2,2,3,9,0,Unfurnished,2,1,0,1,4.18,5.61,4326000,0.3333333333333333,1.0,546.1,4,3,0,New
Nagpur,Kalmna,Apartment,1412.8,2,1,4,8,0,Semi-Furnished,1,1,0,1,9.59,5.57,5530000,0.5,0.5,706.4,3,3,0,New
Nagpur,Wardha Road,Villa,933.8,2,1,0,3,16,Semi-Furnished,0,1,0,1,9.1,8.05,6858000,0.0,0.5,466.9,3,2,1,Old
Nagpur,Wardha Road,Apartment,1627.8,3,2,1,10,4,Unfurnished,1,0,1,1,4.13,5.82,10142000,0.1,0.6666666666666666,542.6,5,3,0,Recent
Pune,Kothrud,Apartment,2135.0,4,3,11,14,32,Unfurnished,1,0,0,1,7.3,8.4,23186000,0.7857142857142857,0.75,533.75,7,2,0,Old
Mumbai,Mira Road,Apartment,1391.8,3,3,11,19,1,Furnished,1,0,0,0,9.25,3.44,20733000,0.5789473684210527,1.0,463.93333333333334,6,1,0,New
Mumbai,Malad,Apartment,2250.1,5,4,14,19,6,Unfurnished,2,0,0,1,5.75,3.95,36664000,0.7368421052631579,0.8,450.02,9,2,0,Recent
Nagpur,Kalmna,Plot,2120.5,0,0,0,0,0,Unfurnished,0,0,0,0,9.75,5.53,5172000,0.0,0.0,2120.5,0,0,1,New
Mumbai,Goregaon,Apartment,1206.9,2,1,3,18,0,Unfurnished,1,0,1,1,8.71,5.86,27503000,0.16666666666666666,0.5,603.45,3,3,0,New
Mumbai,Mira Road,Apartment,1725.6,3,2,0,9,0,Semi-Furnished,0,0,0,0,7.94,8.61,24521000,0.0,0.6666666666666666,575.1999999999999,5,0,1,New
Mumbai,Chembur,Apartment,1352.9,2,2,18,19,24,Unfurnished,2,0,0,1,5.7,3.7,25595000,0.9473684210526315,1.0,676.45,4,2,0,Old
Mumbai,Chembur,Apartment,905.5,1,1,13,18,7,Unfurnished,0,1,0,1,6.06,7.07,26727000,0.7222222222222222,1.0,905.5,2,2,0,Recent
Mumbai,Mira Road,Plot,2425.7,0,0,0,0,0,Unfurnished,1,0,0,0,5.51,8.42,18597000,0.0,0.0,2425.7,0,1,1,New
Pune,Hinjewadi,Apartment,1532.8,3,3,0,1,1,Unfurnished,0,0,0,1,4.3,6.09,13168000,0.0,1.0,510.93333333333334,6,1,1,New
Nagpur,Hingna,Apartment,2118.3,4,4,2,5,0,Unfurnished,1,0,0,1,7.15,6.63,8686000,0.4,1.0,529.575,8,2,0,New
Mumbai,Powai,Apartment,2749.3,4,3,20,21,2,Semi-Furnished,2,1,0,1,6.81,7.14,73865000,0.9523809523809523,0.75,687.325,7,3,0,New
Pune,Hinjewadi,Villa,1285.5,2,2,0,7,2,Semi-Furnished,2,0,0,1,5.81,4.49,12964000,0.0,1.0,642.75,4,2,1,New
Nagpur,Ramdaspeth,Apartment,814.5,2,2,1,1,4,Semi-Furnished,0,0,0,1,6.36,4.75,6350000,1.0,1.0,407.25,4,1,0,Recent
Mumbai,Malad,Apartment,1029.3,2,2,10,13,2,Furnished,1,1,0,1,7.27,2.9,19951000,0.7692307692307693,1.0,514.65,4,3,0,New
Mumbai,Andheri West,Apartment,548.6,1,1,6,7,10,Unfurnished,1,1,0,0,8.26,6.71,16624000,0.8571428571428571,1.0,548.6,2,2,0,Established
Mumbai,Andheri West,Apartment,1317.4,2,2,9,9,8,Semi-Furnished,0,0,0,1,8.35,6.45,49686000,1.0,1.0,658.7,4,1,0,Established
Mumbai,Mira Road,Apartment,1024.9,2,2,10,14,3,Semi-Furnished,0,0,0,0,4.7,3.06,11698000,0.7142857142857143,1.0,512.45,4,0,0,Recent
Mumbai,Mira Road,Plot,2631.3,0,0,0,0,0,Unfurnished,0,0,0,0,5.81,2.53,19249000,0.0,0.0,2631.3,0,0,1,New
Nagpur,Kalmna,Apartment,662.8,2,1,0,1,0,Furnished,2,0,1,1,6.73,4.46,2406000,0.0,0.5,331.4,3,3,1,New
Mumbai,Andheri West,Villa,3102.3,4,3,2,12,22,Unfurnished,1,0,0,0,5.7,8.17,126014000,0.16666666666666666,0.75,775.575,7,1,0,Old
Nagpur,Wardha Road,Apartment,1193.1,2,1,8,11,22,Semi-Furnished,1,0,0,0,5.24,6.06,6718000,0.7272727272727273,0.5,596.55,3,1,0,Old
Nagpur,Dharampeth,Apartment,948.7,2,2,3,4,3,Unfurnished,1,1,0,1,5.81,2.77,6498000,0.75,1.0,474.35,4,3,0,Recent
Mumbai,Andheri West,Apartment,1465.6,2,1,4,16,1,Semi-Furnished,2,1,0,1,9.85,8.31,44479000,0.25,0.5,732.8,3,3,0,New
Mumbai,Chembur,Apartment,641.0,1,1,12,15,1,Unfurnished,2,0,0,1,5.46,9.01,15656000,0.8,1.0,641.0,2,2,0,New
Nagpur,Manish Nagar,Apartment,2405.7,4,4,8,10,0,Semi-Furnished,1,1,0,1,8.08,4.88,13182000,0.8,1.0,601.425,8,3,0,New
Nagpur,Besa,Apartment,2137.2,4,3,10,11,2,Semi-Furnished,2,0,0,0,8.64,3.91,11278000,0.9090909090909091,0.75,534.3,7,1,0,New
Nagpur,Manish Nagar,Plot,2600.7,0,0,0,0,0,Unfurnished,1,0,0,0,5.63,2.74,9900000,0.0,0.0,2600.7,0,1,1,New
Pune,Koregaon Park,Apartment,1597.9,3,3,4,4,2,Unfurnished,1,1,0,1,9.1,8.16,29473000,1.0,1.0,532.6333333333333,6,3,0,New
Nagpur,Civil Lines,Apartment,1581.8,2,2,4,8,0,Unfurnished,1,1,0,1,3.25,10.0,15554000,0.5,1.0,790.9,4,3,0,New
Mumbai,Mira Road,Apartment,1142.6,2,2,1,4,3,Furnished,2,0,0,0,10.0,6.62,15313000,0.25,1.0,571.3,4,1,0,Recent
Nagpur,Ramdaspeth,Apartment,510.4,1,1,0,10,6,Unfurnished,1,0,0,0,4.62,4.25,3089000,0.0,1.0,510.4,2,1,1,Recent
Nagpur,Ramdaspeth,Apartment,1452.6,2,1,0,10,20,Semi-Furnished,2,1,0,0,5.82,6.96,9458000,0.0,0.5,726.3,3,2,1,Old
Mumbai,Andheri West,Apartment,1230.5,2,1,8,17,3,Furnished,1,0,0,1,4.71,6.62,41542000,0.47058823529411764,0.5,615.25,3,2,0,Recent
Pune,Kalyani Nagar,Plot,1470.6,0,0,0,0,0,Unfurnished,1,0,0,0,2.62,6.92,12230000,0.0,0.0,1470.6,0,1,1,New
Mumbai,Malad,Apartment,1138.1,2,2,4,15,0,Unfurnished,2,1,0,1,6.06,4.85,22366000,0.26666666666666666,1.0,569.05,4,3,0,New
Pune,Baner,Apartment,1181.1,2,2,5,5,13,Semi-Furnished,1,0,0,1,5.83,5.94,13592000,1.0,1.0,590.55,4,2,0,Established
Nagpur,Besa,Plot,2629.1,0,0,0,0,0,Unfurnished,0,0,0,0,5.24,3.87,7512000,0.0,0.0,2629.1,0,0,1,New
Pune,Kothrud,Apartment,1943.2,3,2,9,10,0,Furnished,0,0,0,1,5.16,4.6,25147000,0.9,0.6666666666666666,647.7333333333333,5,1,0,New
Pune,Baner,Apartment,659.3,1,1,0,1,6,Semi-Furnished,1,0,0,0,6.91,2.63,6829000,0.0,1.0,659.3,2,1,1,Recent
Pune,Kothrud,Apartment,721.5,2,1,0,1,14,Furnished,1,0,0,1,6.12,4.03,7526000,0.0,0.5,360.75,3,2,1,Established
Nagpur,Dharampeth,Apartment,1975.4,4,3,0,1,6,Semi-Furnished,0,0,0,0,7.12,5.24,12926000,0.0,0.75,493.85,7,0,1,Recent
Pune,Hadapsar,Apartment,864.6,2,2,2,10,9,Semi-Furnished,1,1,0,0,6.95,6.47,6527000,0.2,1.0,432.3,4,2,0,Established
Nagpur,Civil Lines,Apartment,844.4,2,2,4,4,0,Unfurnished,1,0,0,0,9.4,8.58,9424000,1.0,1.0,422.2,4,1,0,New
Pune,Hinjewadi,Apartment,1098.8,2,2,2,8,1,Unfurnished,1,1,0,1,3.09,5.84,11753000,0.25,1.0,549.4,4,3,0,New
Pune,Wakad,Apartment,1142.7,2,1,1,1,2,Semi-Furnished,1,0,0,1,6.92,6.84,12506000,1.0,0.5,571.35,3,2,0,New
Nagpur,Wardha Road,Villa,2073.8,3,2,5,10,3,Unfurnished,0,0,1,1,4.48,10.0,17080000,0.5,0.6666666666666666,691.2666666666668,5,2,0,Recent
Pune,Hinjewadi,Apartment,903.7,2,2,0,10,3,Furnished,1,0,0,1,8.11,6.21,8076000,0.0,1.0,451.85,4,2,1,Recent
Pune,Kalyani Nagar,Plot,3786.3,0,0,0,0,0,Unfurnished,0,0,0,0,6.23,4.67,38171000,0.0,0.0,3786.3,0,0,1,New
Pune,Wagholi,Apartment,842.3,2,2,1,6,0,Furnished,2,1,0,1,7.46,2.92,6428000,0.16666666666666666,1.0,421.15,4,3,0,New
Pune,Kalyani Nagar,Apartment,530.7,1,1,1,4,14,Unfurnished,1,0,0,1,7.25,7.72,7306000,0.25,1.0,530.7,2,2,0,Established
Pune,Wakad,Villa,1236.9,2,1,0,4,2,Semi-Furnished,0,1,0,0,4.56,5.67,15560000,0.0,0.5,618.45,3,1,1,New
Nagpur,Manish Nagar,Plot,3113.0,0,0,0,0,0,Unfurnished,0,0,0,0,4.64,5.01,10554000,0.0,0.0,3113.0,0,0,1,New
Pune,Kothrud,Apartment,2962.2,4,4,0,11,0,Semi-Furnished,1,1,1,1,7.3,6.0,39042000,0.0,1.0,740.55,8,4,1,New
Pune,Hinjewadi,Apartment,1423.8,3,3,0,6,5,Unfurnished,1,0,0,0,9.79,5.51,11787000,0.0,1.0,474.59999999999997,6,1,1,Recent
Pune,Wagholi,Apartment,2459.3,4,4,6,7,6,Unfurnished,1,0,0,1,3.95,5.58,15040000,0.8571428571428571,1.0,614.825,8,2,0,Recent
Mumbai,Andheri West,Plot,3155.3,0,0,0,0,0,Unfurnished,1,0,0,0,5.68,8.1,65895000,0.0,0.0,3155.3,0,1,1,New
Pune,Kothrud,Apartment,856.2,2,2,1,1,1,Unfurnished,2,0,0,1,7.2,8.78,9939000,1.0,1.0,428.1,4,2,0,New
Pune,Koregaon Park,Plot,1720.0,0,0,0,0,0,Unfurnished,0,0,0,0,4.63,7.33,16435000,0.0,0.0,1720.0,0,0,1,New
Nagpur,Ramdaspeth,Apartment,1423.4,2,1,0,9,9,Unfurnished,1,0,0,0,2.08,5.18,8884000,0.0,0.5,711.7,3,1,1,Established
Pune,Wagholi,Apartment,1447.0,3,2,9,12,12,Semi-Furnished,1,0,0,1,7.76,6.35,10179000,0.75,0.6666666666666666,482.3333333333333,5,2,0,Established
Pune,Wagholi,Apartment,1190.4,2,2,0,1,0,Semi-Furnished,1,0,0,1,5.54,5.66,6085000,0.0,1.0,595.2,4,2,1,New
Nagpur,Besa,Apartment,750.6,2,1,7,7,1,Semi-Furnished,0,0,0,1,4.47,3.84,3508000,1.0,0.5,375.3,3,1,0,New
Nagpur,Manish Nagar,Apartment,1094.8,2,1,0,3,3,Unfurnished,2,0,0,1,5.8,4.88,6804000,0.0,0.5,547.4,3,2,1,Recent
Pune,Kothrud,Villa,730.8,2,1,0,9,1,Unfurnished,1,0,0,1,4.68,8.82,10921000,0.0,0.5,365.4,3,2,1,New
Nagpur,Hingna,Apartment,1034.9,2,1,0,13,6,Unfurnished,0,0,0,1,4.13,6.8,3206000,0.0,0.5,517.45,3,1,1,Recent
Mumbai,Panvel,Apartment,1574.3,3,2,7,12,4,Semi-Furnished,0,0,0,0,7.17,7.21,15420000,0.5833333333333334,0.6666666666666666,524.7666666666667,5,0,0,Recent
